nodeID|nodetitle|field_deptf_seine|OldNum
34679|29-51|64D|300
34679|29-51|64D|Feuille-300-301
34694|29-52|64I|313
34744|14-55|61X|
34782|42-56|76B|
34225|28-12-13|3H-M|
34476|53-26||
34484|11-31|27A|
34488|11-32|27F|
34797|26-57|73F|
34848|31-59|74P|
34493|56-33||
34494|10-34|26T|
34456|27-13|3L|
34462|54-23||
34464|56-23||
34466|52-24||
34473|57-25||
34523|31-36|40A|45
34536|53-36||
34569|46-39|43P|
34571|7-40|35V|
34572|10-40|35Y|
34886|20-62|82J|
34900|32-67|91G|
34731|26-54|64P|326
34570|6-40|35U|
34636|24-48|55N|245
34675|25-51|63E|296
34742|8-55||
